state,laws,totalVictims
Arizona,11,19
Arkansas,11,15
California,104,245
Colorado,30,142
Connecticut,89,46
Florida,21,216
Georgia,6,27
Hawaii,78,7
Illinois,64,35
Iowa,25,7
Kansas,7,17
Kentucky,7,28
Louisiana,12,6
Maryland,64,6
Massachusetts,100,7
Michigan,21,18
Minnesota,41,23
Mississippi,5,15
Missouri,7,8
Nebraska,22,13
Nevada,15,770
NewYork,75,55
NorthCarolina,30,23
Ohio,16,15
Oklahoma,9,21
Oregon,35,47
Pennsylvania,36,19
SouthCarolina,12,17
Tennessee,22,7
Texas,18,192
Utah,11,10
Virginia,13,55
Washington,43,65
Wisconsin,23,32